CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40         50          0          0       1236          0   
    2      45         68         10        760       1120         90   
    3      45         70         30        668       1028         90   
    4      42         66         10         16        376         90   
    5      42         68         10        575        935         90   
    6      42         65         10         15        375         90   
    7      40         69         20        482        842         90   
    8      40         66         20         18        378         90   
    9      38         68         20        110        470         90   
   10      38         70         10        390        750         90   
   11      35         66         10        204        564         90   
   12      35         69         10        297        657         90   
   13      25         85         20        507        867         90   
   14      22         75         30         30        390         90   
   15      22         85         10        414        774         90   
   16      20         80         40        227        587         90   
   17      20         85         40        322        682         90   
   18      18         75         20         33        393         90   
   19      15         75         20         37        397         90   
   20      15         80         10        132        492         90   
   
