param xcoord :=
0    40
1    45
2    45
3    42
4    42
5    42
6    40
7    40
8    38
9    38
10   35
11   35
12   25
13   22
14   22
15   20
16   20
17   18
18   15
19   15
20   30
21   30
22   28
23   28
24   25
25   25
26   25
27   23
28   23
29   20
30   20
31   10
32   10
33    8
34    8
35    5
36    5
37    2
38    0
39    0
40   35
41   35
42   33
43   33
44   32
45   30
46   30
47   30
48   28
49   28
50   26
51   25
52   25
53   44
54   42
55   42
56   40
57   40
58   38
59   38
60   35
61   50
62   50
63   50
64   48
65   48
66   47
67   47
68   45
69   45
70   95
71   95
72   53
73   92
74   53
75   45
76   90
77   88
78   88
79   87
80   85
81   85
82   75
83   72
84   70
85   68
86   66
87   65
88   65
89   63
90   60
91   60
92   67
93   65
94   65
95   62
96   60
97   60
98   58
99   55
100  55
;

param ycoord :=
0    50
1    68
2    70
3    66
4    68
5    65
6    69
7    66
8    68
9    70
10   66
11   69
12   85
13   75
14   85
15   80
16   85
17   75
18   75
19   80
20   50
21   52
22   52
23   55
24   50
25   52
26   55
27   52
28   55
29   50
30   55
31   35
32   40
33   40
34   45
35   35
36   45
37   40
38   40
39   45
40   30
41   32
42   32
43   35
44   30
45   30
46   32
47   35
48   30
49   35
50   32
51   30
52   35
53    5
54   10
55   15
56    5
57   15
58    5
59   15
60    5
61   30
62   35
63   40
64   30
65   40
66   35
67   40
68   30
69   35
70   30
71   35
72   30
73   30
74   35
75   65
76   35
77   30
78   35
79   30
80   25
81   35
82   55
83   55
84   58
85   60
86   55
87   55
88   60
89   58
90   55
91   60
92   85
93   85
94   82
95   80
96   80
97   85
98   75
99   80
100  85
;

param demand :=
0    0
1    10
2    30
3    10
4    10
5    10
6    20
7    20
8    20
9    10
10   10
11   10
12   20
13   30
14   10
15   40
16   40
17   20
18   20
19   10
20   10
21   20
22   20
23   10
24   10
25   40
26   10
27   10
28   20
29   10
30   10
31   20
32   30
33   40
34   20
35   10
36   10
37   20
38   30
39   20
40   10
41   10
42   20
43   10
44   10
45   10
46   30
47   10
48   10
49   10
50   10
51   10
52   10
53   20
54   40
55   10
56   30
57   40
58   30
59   10
60   20
61   10
62   20
63   50
64   10
65   10
66   10
67   10
68   10
69   10
70   30
71   20
72   10
73   10
74   50
75   20
76   10
77   10
78   20
79   10
80   10
81   30
82   20
83   10
84   20
85   30
86   10
87   20
88   30
89   10
90   10
91   10
92   20
93   40
94   10
95   30
96   10
97   30
98   20
99   10
100  20
;

param ready_time :=
0    0
1    912
2    825
3    65
4    727
5    15
6    621
7    170
8    255
9    534
10   357
11   448
12   652
13   30
14   567
15   384
16   475
17   99
18   179
19   278
20   10
21   914
22   812
23   732
24   65
25   169
26   622
27   261
28   546
29   358
30   449
31   200
32   31
33   87
34   751
35   283
36   665
37   383
38   479
39   567
40   264
41   166
42   68
43   16
44   359
45   541
46   448
47   1054
48   632
49   1001
50   815
51   725
52   912
53   286
54   186
55   95
56   385
57   35
58   471
59   651
60   562
61   531
62   262
63   171
64   632
65   76
66   826
67   12
68   734
69   916
70   387
71   293
72   450
73   478
74   353
75   997
76   203
77   574
78   109
79   668
80   769
81   47
82   369
83   265
84   458
85   555
86   173
87   85
88   645
89   737
90   20
91   836
92   368
93   475
94   285
95   196
96   95
97   561
98   30
99   743
100  647
;

param due_date :=
0    1236
1    967
2    870
3    146
4    782
5    67
6    702
7    225
8    324
9    605
10   410
11   505
12   721
13   92
14   620
15   429
16   528
17   148
18   254
19   345
20   73
21   965
22   883
23   777
24   144
25   224
26   701
27   316
28   593
29   405
30   504
31   237
32   100
33   158
34   816
35   344
36   716
37   434
38   522
39   624
40   321
41   235
42   149
43   80
44   412
45   600
46   509
47   1127
48   693
49   1066
50   880
51   786
52   969
53   347
54   257
55   158
56   436
57   87
58   534
59   740
60   629
61   610
62   317
63   218
64   693
65   129
66   875
67   77
68   777
69   969
70   456
71   360
72   505
73   551
74   412
75   1068
76   260
77   643
78   170
79   731
80   820
81   124
82   420
83   338
84   523
85   612
86   238
87   144
88   708
89   802
90   84
91   889
92   441
93   518
94   336
95   239
96   156
97   622
98   84
99   820
100  726
;

param service_time :=
0    0
1    90
2    90
3    90
4    90
5    90
6    90
7    90
8    90
9    90
10   90
11   90
12   90
13   90
14   90
15   90
16   90
17   90
18   90
19   90
20   90
21   90
22   90
23   90
24   90
25   90
26   90
27   90
28   90
29   90
30   90
31   90
32   90
33   90
34   90
35   90
36   90
37   90
38   90
39   90
40   90
41   90
42   90
43   90
44   90
45   90
46   90
47   90
48   90
49   90
50   90
51   90
52   90
53   90
54   90
55   90
56   90
57   90
58   90
59   90
60   90
61   90
62   90
63   90
64   90
65   90
66   90
67   90
68   90
69   90
70   90
71   90
72   90
73   90
74   90
75   90
76   90
77   90
78   90
79   90
80   90
81   90
82   90
83   90
84   90
85   90
86   90
87   90
88   90
89   90
90   90
91   90
92   90
93   90
94   90
95   90
96   90
97   90
98   90
99   90
100  90
;
